path,prediction
satellite_images\2023\nbr_2023-06-01_cloud0.0.png,Fire
satellite_images\2023\nbr_2023-06-04_cloud2.1.png,No fire
satellite_images\2023\nbr_2023-06-06_cloud3.0.png,Fire
satellite_images\2023\nbr_2023-06-09_cloud6.3.png,Fire
satellite_images\2023\nbr_2023-06-11_cloud8.0.png,Fire
satellite_images\2023\nbr_2023-06-14_cloud6.9.png,Fire
satellite_images\2023\nbr_2023-06-16_cloud17.1.png,Fire
satellite_images\2023\nbr_2023-06-19_cloud19.6.png,Fire
satellite_images\2023\nbr_2023-06-26_cloud3.3.png,Fire
satellite_images\2023\nbr_2023-07-09_cloud26.6.png,Fire
satellite_images\2023\nbr_2023-07-11_cloud4.5.png,Fire
satellite_images\2023\nbr_2023-07-14_cloud8.3.png,Fire
satellite_images\2023\nbr_2023-07-16_cloud27.8.png,Fire
satellite_images\2023\nbr_2023-07-19_cloud5.2.png,Fire
satellite_images\2023\nbr_2023-07-21_cloud7.9.png,Fire
satellite_images\2023\nbr_2023-07-26_cloud6.7.png,Fire
satellite_images\2023\nbr_2023-07-29_cloud8.5.png,Fire
satellite_images\2023\nbr_2023-08-03_cloud3.2.png,Fire
satellite_images\2023\nbr_2023-08-05_cloud24.0.png,Fire
satellite_images\2023\nbr_2023-08-08_cloud6.5.png,Fire
satellite_images\2023\nbr_2023-08-18_cloud3.4.png,Fire
satellite_images\2023\nbr_2023-08-20_cloud2.4.png,Fire
satellite_images\2023\nbr_2023-08-23_cloud2.3.png,Fire
satellite_images\2023\nbr_2023-08-30_cloud3.0.png,Fire
